"head","relation","tail"
"mondo.0001881","associated","uniprot.P02774"
"mondo.0012960","symptom","hpo.0000473"
"drugbank.DB06663","SE","meddra.10045242"
"drugbank.DB00242","SE","meddra.10036105"
"mondo.0010044","symptom","hpo.0002607"
"drugbank.DB01156","SE","meddra.10018386"
"mondo.0018940","associated","uniprot.Q16572"
"drugbank.DB00531","SE","meddra.10047446"
"mondo.0018919","symptom","hpo.0012028"
"drugbank.DB00882","target","uniprot.Q01959"
"drugbank.DB01267","SE","meddra.10001927"
"drugbank.DB00715","SE","meddra.10020949"
"drugbank.DB00571","target","uniprot.P50406"
"drugbank.DB00906","SE","meddra.10036142"
"drugbank.DB08865","target","uniprot.Q13546"
"mondo.0008667","symptom","hpo.0001085"
"drugbank.DB00341","SE","meddra.10019493"
"mondo.0014792","symptom","hpo.0002653"
"mondo.0004976","associated","uniprot.Q13148"
"mondo.0010150","associated","uniprot.Q92887"
"mondo.0019373","associated","uniprot.P19544"
"mondo.0008918","symptom","hpo.0006543"
"drugbank.DB00674","SE","meddra.10021021"
"drugbank.DB00877","SE","meddra.10037596"
"mondo.0016621","associated","uniprot.P39905"
"drugbank.DB09389","SE","meddra.10022992"
"drugbank.DB00631","SE","meddra.10049195"
"mondo.0010975","associated","uniprot.Q9UI47"
"mondo.0012700","symptom","hpo.0001942"
"drugbank.DB00285","SE","meddra.10001541"
"drugbank.DB00982","SE","meddra.10020870"
"mondo.0001881","symptom","hpo.0031864"
"mondo.0008278","symptom","hpo.0001653"
"mondo.0014119","symptom","hpo.0000752"
"mondo.0011937","associated","uniprot.P01040"
"drugbank.DB00273","SE","meddra.10020962"
"mondo.0009692","symptom","hpo.0011974"
"drugbank.DB01110","target","uniprot.P14902"
"drugbank.DB00273","SE","meddra.10020864"
"mondo.0044317","symptom","hpo.0000141"
"mondo.0008668","symptom","hpo.0000132"
"drugbank.DB00215","target","uniprot.Q01959"
"drugbank.DB00537","SE","meddra.10027506"
"mondo.0011218","symptom","hpo.0000962"
"mondo.0013117","symptom","hpo.0001618"
"mondo.0018874","associated","uniprot.P40763"
"mondo.0008487","associated","uniprot.P01229"
"drugbank.DB04868","target","uniprot.P23280"
"mondo.0007932","symptom","hpo.0000608"
"mondo.0007269","associated","uniprot.Q8TCU4"
"mondo.0010132","associated","uniprot.Q92911"
"mondo.0005711","associated","uniprot.P29279"
"mondo.0014088","associated","uniprot.P52565"
"drugbank.DB01202","SE","meddra.10020765"
"mondo.0800437","symptom","hpo.0000211"
"mondo.0018053","symptom","hpo.0001373"
"mondo.0014651","symptom","hpo.0008807"
"drugbank.DB00776","SE","meddra.10041962"
"mondo.0007109","symptom","hpo.0001972"
"mondo.0018149","symptom","hpo.0000618"
"mondo.0011781","symptom","hpo.0001300"
"drugbank.DB00770","target","uniprot.P43115"
"mondo.0024464","associated","uniprot.P28069"
"drugbank.DB06213","SE","meddra.10033546"
"mondo.0008383","associated","uniprot.P48023"
"mondo.0012345","symptom","hpo.0200034"
"mondo.0003582","associated","uniprot.Q86YC2"
"mondo.0007191","symptom","hpo.0100614"
"drugbank.DB05294","target","uniprot.P30530"
"mondo.0013822","associated","uniprot.P10644"
"drugbank.DB00213","SE","meddra.10020604"
"drugbank.DB01156","SE","meddra.10021649"
"drugbank.DB01242","SE","meddra.10040752"
"mondo.0009050","symptom","hpo.0025017"
"mondo.0007888","associated","uniprot.P07954"
"mondo.0018969","associated","uniprot.Q8TAA9"
"drugbank.DB00244","SE","meddra.10040752"
"mondo.0015193","associated","uniprot.Q8TD16"
"drugbank.DB00811","SE","meddra.10028980"
"drugbank.DB00715","SE","meddra.10034674"
"drugbank.DB00215","SE","meddra.10029446"
"mondo.0007908","symptom","hpo.0001387"
"mondo.0014619","symptom","hpo.0000656"
"drugbank.DB00619","target","uniprot.O00444"
"mondo.0001881","symptom","hpo.0002754"
"drugbank.DB00398","target","uniprot.Q9BWU1"
"mondo.0010907","symptom","hpo.0025268"
"drugbank.DB00268","SE","meddra.10008754"
"drugbank.DB06589","target","uniprot.P08631"
"drugbank.DB00215","SE","meddra.10013836"
"mondo.0011959","symptom","hpo.0200039"
"drugbank.DB00969","SE","meddra.10021067"
"drugbank.DB00740","SE","meddra.10029117"
"drugbank.DB01041","SE","meddra.10040639"
"mondo.0010134","symptom","hpo.0000843"
"mondo.0010200","associated","uniprot.P16298"
"mondo.0012664","associated","uniprot.Q96GW9"
"mondo.0019514","associated","uniprot.P09919"
"mondo.0009480","symptom","hpo.0001959"
"mondo.0018969","associated","uniprot.P14207"
"mondo.0009658","associated","uniprot.P51688"
"drugbank.DB01175","SE","meddra.10033132"
"mondo.0060578","symptom","hpo.0001638"
"mondo.0044302","associated","uniprot.Q14004"
"drugbank.DB04868","target","uniprot.P54760"
"drugbank.DB06616","target","uniprot.Q15349"
"drugbank.DB00755","SE","meddra.10035598"
"mondo.0009339","symptom","hpo.0001397"
"mondo.0014421","symptom","hpo.0001061"
"drugbank.DB01234","SE","meddra.10030043"
"drugbank.DB00811","SE","meddra.10002959"
"mondo.0014621","symptom","hpo.0012251"
"mondo.0009856","symptom","hpo.0007957"
"drugbank.DB00745","target","uniprot.Q01959"
"mondo.0009892","associated","uniprot.P40337"
"mondo.0014369","symptom","hpo.0000135"
"mondo.0011305","associated","uniprot.Q9BUL8"
"mondo.0013255","symptom","hpo.0008064"
"drugbank.DB01186","SE","meddra.10028980"
"drugbank.DB00317","target","uniprot.O15197"
"mondo.0011151","symptom","hpo.0000618"
"drugbank.DB00559","target","uniprot.O95342"
"mondo.0007576","associated","uniprot.Q8NEW0"
"drugbank.DB00734","SE","meddra.10012260"
"mondo.0019810","associated","uniprot.P62195"
"drugbank.DB00455","target","uniprot.Q9H2J7"
"mondo.0009660","symptom","hpo.0001650"
"mondo.0013434","associated","uniprot.Q9UFE4"
"drugbank.DB00321","target","uniprot.O15244"
"mondo.0013686","symptom","hpo.0003124"
"mondo.0013475","symptom","hpo.0004757"
"mondo.0012204","associated","uniprot.Q9NP58"
"drugbank.DB01060","SE","meddra.10048302"
"mondo.0010650","associated","uniprot.P21333"
"mondo.0012105","symptom","hpo.0000093"
"mondo.0012320","symptom","hpo.0000618"
"drugbank.DB00294","SE","meddra.10020864"
"mondo.0007576","associated","uniprot.Q16548"
"drugbank.DB00408","target","uniprot.P23975"
"mondo.0010699","associated","uniprot.P60891"
"drugbank.DB06616","target","uniprot.P54753"
"mondo.0016333","associated","uniprot.Q8WZ42"
"mondo.0007163","symptom","hpo.0000473"
"mondo.0010659","symptom","hpo.0025116"
"mondo.0014935","symptom","hpo.0001007"
"mondo.0014172","associated","uniprot.Q8WY41"
"drugbank.DB06213","SE","meddra.10003671"
"mondo.0012429","associated","uniprot.Q9UMW8"
"mondo.0012883","associated","uniprot.P31749"
"mondo.0018105","symptom","hpo.0000726"
"mondo.0009276","associated","uniprot.P13224"
"mondo.0009717","associated","uniprot.P0DI81"
"mondo.0012111","symptom","hpo.0001663"
"mondo.0009623","symptom","hpo.0000752"
"mondo.0005502","symptom","hpo.0000225"
"drugbank.DB08865","target","uniprot.Q9UM73"
"mondo.0000141","symptom","hpo.0006721"
"mondo.0019625","symptom","hpo.0002875"
"mondo.0013062","symptom","hpo.0001663"
"mondo.0010581","symptom","hpo.0000873"
"drugbank.DB00502","SE","meddra.10047302"
"mondo.0014447","associated","uniprot.Q9BW83"
"mondo.0006292","associated","uniprot.P31371"
"drugbank.DB06213","SE","meddra.10022763"
"mondo.0019978","associated","uniprot.P41221"
"mondo.0007947","associated","uniprot.P08253"
"mondo.0019165","associated","uniprot.P84996"
"drugbank.DB01224","target","uniprot.P47898"
"mondo.0014723","symptom","hpo.0000763"
"drugbank.DB01189","SE","meddra.10042966"
"drugbank.DB00864","target","uniprot.P62942"
"mondo.0009068","associated","uniprot.Q9NYY8"
"mondo.0009490","symptom","hpo.0000230"
"drugbank.DB04868","SE","meddra.10003210"
"mondo.0018874","associated","uniprot.P09668"
"mondo.0011359","symptom","hpo.0012032"
"drugbank.DB08865","target","uniprot.Q13233"
"mondo.0015452","associated","uniprot.Q06945"
"mondo.0008840","symptom","hpo.0001266"
"mondo.0011476","symptom","hpo.0011950"
"mondo.0019165","symptom","hpo.0001061"
"mondo.0010099","associated","uniprot.P17900"
"drugbank.DB00990","SE","meddra.10020864"
"mondo.0003582","associated","uniprot.P38398"
"drugbank.DB00906","SE","meddra.10033864"
"mondo.0010132","associated","uniprot.Q9NRD8"
"mondo.0013655","symptom","hpo.0010553"
"mondo.0007576","associated","uniprot.P00519"
"mondo.0018089","symptom","hpo.0001680"
"mondo.0007959","associated","uniprot.P16234"
"drugbank.DB00938","SE","meddra.10016946"
"mondo.0009821","symptom","hpo.0002878"
"mondo.0018874","associated","uniprot.Q9UHD8"
"mondo.0011639","symptom","hpo.0001972"
"mondo.0014612","symptom","hpo.0002206"
"mondo.0014810","associated","uniprot.Q13422"
"drugbank.DB00273","SE","meddra.10003285"
"mondo.0016812","associated","uniprot.P30793"
"mondo.0009904","symptom","hpo.0000103"
"mondo.0008726","symptom","hpo.0000138"
"drugbank.DB06589","target","uniprot.Q08881"
"mondo.0014807","symptom","hpo.0001622"
"mondo.0017844","associated","uniprot.P31785"
"mondo.0000211","symptom","hpo.0002063"
"mondo.0011301","symptom","hpo.0002901"
"mondo.0007947","associated","uniprot.P37173"
"mondo.0008104","associated","uniprot.P01116"
"drugbank.DB00471","SE","meddra.10027175"
"mondo.0014175","associated","uniprot.P12235"
"mondo.0010674","symptom","hpo.0000752"
"drugbank.DB00285","SE","meddra.10011703"
"mondo.0009612","symptom","hpo.0002273"
"mondo.0013015","symptom","hpo.0012251"
"mondo.0013225","symptom","hpo.0009125"
"drugbank.DB00485","SE","meddra.10048302"
"mondo.0016674","associated","uniprot.P43694"
"mondo.0010498","symptom","hpo.0001650"
"mondo.0010002","symptom","hpo.0001909"
"drugbank.DB01268","target","uniprot.P46734"
"mondo.0015240","associated","uniprot.Q8IZF0"
"mondo.0014719","symptom","hpo.0002133"
"drugbank.DB01254","target","uniprot.Q13882"
"drugbank.DB01268","target","uniprot.Q8N568"
"mondo.0004976","associated","uniprot.Q15166"
"mondo.0100224","symptom","hpo.0002878"
"mondo.0011381","symptom","hpo.0200042"
"mondo.0008306","symptom","hpo.0002063"
"drugbank.DB01233","SE","meddra.10006100"
"mondo.0006292","associated","uniprot.P29622"
"drugbank.DB00503","target","uniprot.P41145"
"drugbank.DB01101","SE","meddra.10039100"
"mondo.0009189","symptom","hpo.0001387"
"drugbank.DB01184","target","uniprot.P31645"
"drugbank.DB00804","target","uniprot.Q12809"
"drugbank.DB04845","target","uniprot.P68371"
"mondo.0011472","symptom","hpo.0008404"
"mondo.0009282","associated","uniprot.Q16134"
"mondo.0010820","associated","uniprot.Q99497"
"mondo.0013127","symptom","hpo.0001539"
"mondo.0007893","associated","uniprot.P01111"
"mondo.0007048","symptom","hpo.0008404"
"drugbank.DB00501","target","uniprot.P25021"
"mondo.0017185","symptom","hpo.0002133"
"drugbank.DB00996","SE","meddra.10062872"
"drugbank.DB13944","SE","meddra.10039788"
"mondo.0013838","associated","uniprot.Q86YH6"
"mondo.0019186","symptom","hpo.0002098"
"mondo.0012552","symptom","hpo.0100570"
"mondo.0013687","associated","uniprot.Q9NZC7"
"mondo.0006486","associated","uniprot.Q15147"
"drugbank.DB00543","target","uniprot.Q01959"
"mondo.0015193","associated","uniprot.P37837"
"mondo.0012808","symptom","hpo.0001678"
"mondo.0011512","associated","uniprot.P07359"
"mondo.0014089","associated","uniprot.Q9C000"
"mondo.0019959","symptom","hpo.0001907"
"drugbank.DB00543","target","uniprot.P11229"
"drugbank.DB06700","target","uniprot.P23975"
"mondo.0012858","symptom","hpo.0003470"
"drugbank.DB00193","SE","meddra.10015145"
"drugbank.DB00471","SE","meddra.10020400"
"mondo.0019200","symptom","hpo.0000618"
"mondo.0008487","associated","uniprot.Q7Z572"
"drugbank.DB01136","SE","meddra.10022618"
"mondo.0007301","symptom","hpo.0001374"
"drugbank.DB08911","SE","meddra.10020582"
"drugbank.DB05294","target","uniprot.Q15569"
"mondo.0009910","symptom","hpo.0002345"
"mondo.0011882","associated","uniprot.P15924"
"drugbank.DB01268","target","uniprot.Q92918"
"mondo.0014284","symptom","hpo.0000546"
"drugbank.DB00472","target","uniprot.P23975"
"drugbank.DB01006","SE","meddra.10029151"
"mondo.0017991","symptom","hpo.0100735"
"mondo.0011151","associated","uniprot.O75197"
"mondo.0014637","symptom","hpo.0006515"
"mondo.0013892","associated","uniprot.Q03591"
"mondo.0033613","associated","uniprot.Q9UEY8"
"mondo.0007959","associated","uniprot.Q96JM7"
"mondo.0016063","associated","uniprot.P21802"
"drugbank.DB00811","SE","meddra.10027313"
"mondo.0010772","symptom","hpo.0002067"
"mondo.0009294","associated","uniprot.P06737"
"drugbank.DB01100","SE","meddra.10044074"
"drugbank.DB01156","SE","meddra.10012260"
"drugbank.DB01254","target","uniprot.P09769"
"drugbank.DB00788","target","uniprot.P23219"
"mondo.0013545","associated","uniprot.O60706"
"mondo.0017184","symptom","hpo.0002591"
"mondo.0018874","associated","uniprot.Q13948"
"drugbank.DB00315","SE","meddra.10021649"
"mondo.0013612","symptom","hpo.0001650"
"drugbank.DB00674","SE","meddra.10042604"
"mondo.0011093","symptom","hpo.0030839"
"drugbank.DB00924","target","uniprot.P08172"
"mondo.0017184","symptom","hpo.0001325"
"mondo.0011871","symptom","hpo.0007302"
"drugbank.DB06616","target","uniprot.P52333"
"mondo.0011925","associated","uniprot.P24043"
"drugbank.DB01254","target","uniprot.P54756"
"mondo.0024528","associated","uniprot.P12235"
"mondo.0018271","symptom","hpo.0000826"
"drugbank.DB00734","SE","meddra.10021113"
"mondo.0018177","symptom","hpo.0012174"
"mondo.0014221","symptom","hpo.0002317"
"mondo.0018919","symptom","hpo.0002148"
"mondo.0014405","symptom","hpo.0033505"
"mondo.0013255","symptom","hpo.0001385"
"drugbank.DB00559","target","uniprot.P25101"
"drugbank.DB00783","SE","meddra.10020112"
"mondo.0008120","associated","uniprot.O00555"
"mondo.0008119","symptom","hpo.0002354"
"drugbank.DB01184","target","uniprot.P10635"
"mondo.0014046","associated","uniprot.B2CW77"
"drugbank.DB01175","SE","meddra.10020604"
"mondo.0017990","associated","uniprot.Q01484"
"mondo.0010526","symptom","hpo.0000966"
"mondo.0007488","symptom","hpo.0001300"
"mondo.0010765","associated","uniprot.Q8WW38"
"mondo.0011439","associated","uniprot.Q00005"
"drugbank.DB01268","target","uniprot.Q16566"
"mondo.0009283","symptom","hpo.0000836"
"drugbank.DB00317","target","uniprot.Q99759"
"mondo.0008979","associated","uniprot.O95622"
"drugbank.DB00275","SE","meddra.10020907"
"mondo.0011462","symptom","hpo.0100280"
"mondo.0013526","associated","uniprot.O14653"
"drugbank.DB00207","target","uniprot.O43193"
"mondo.0018961","associated","uniprot.Q9NYB0"
"mondo.0008383","associated","uniprot.Q14765"
"drugbank.DB01236","target","uniprot.Q9NPC2"
"drugbank.DB00374","target","uniprot.P43119"
"mondo.0010854","symptom","hpo.0001680"
"drugbank.DB01202","SE","meddra.10027175"
"drugbank.DB06626","target","uniprot.Q13188"
"drugbank.DB06589","target","uniprot.O75716"
"mondo.0015892","symptom","hpo.0000873"
"mondo.0016002","associated","uniprot.Q9NWM8"
"mondo.0005580","associated","uniprot.P23528"
"mondo.0013353","symptom","hpo.0000646"
"mondo.0008383","associated","uniprot.Q9H3M7"
"mondo.0002546","associated","uniprot.P19544"
"drugbank.DB00715","SE","meddra.10018292"
"drugbank.DB05294","target","uniprot.O15197"
"mondo.0009039","symptom","hpo.0002024"
"mondo.0019180","associated","uniprot.Q13485"
"mondo.0011390","symptom","hpo.0000100"
"mondo.0007435","symptom","hpo.0002354"
"mondo.0007576","associated","uniprot.P50281"
"drugbank.DB13919","target","uniprot.P18089"
"mondo.0010013","symptom","hpo.0001004"
"drugbank.DB01254","SE","meddra.10008635"
"mondo.0011299","symptom","hpo.0000298"
"drugbank.DB00310","target","uniprot.P55017"
"mondo.0005828","symptom","hpo.0100584"
"drugbank.DB00230","SE","meddra.10011703"
"drugbank.DB06663","SE","meddra.10020604"
"drugbank.DB08873","SE","meddra.10014625"
"drugbank.DB01186","SE","meddra.10034721"
"drugbank.DB00285","SE","meddra.10026749"
"drugbank.DB00905","SE","meddra.10037508"
"mondo.0008633","associated","uniprot.P08473"
"drugbank.DB00997","SE","meddra.10047249"
"drugbank.DB01050","target","uniprot.P10145"
"mondo.0008318","symptom","hpo.0001387"
"mondo.0000908","symptom","hpo.0004756"
"mondo.0018961","associated","uniprot.O14746"
"mondo.0014836","associated","uniprot.P12036"
"mondo.0016419","associated","uniprot.Q96BI1"
"mondo.0008907","associated","uniprot.O15305"
"mondo.0014775","associated","uniprot.Q70HW3"
"drugbank.DB08875","SE","meddra.10062975"
"mondo.0016699","associated","uniprot.P29323"
"drugbank.DB00619","target","uniprot.P11362"
"drugbank.DB00619","target","uniprot.P07333"
"drugbank.DB00399","SE","meddra.10006002"
"mondo.0013730","symptom","hpo.0000211"
"mondo.0006639","associated","uniprot.P01344"
"mondo.0010258","symptom","hpo.0000823"
"mondo.0013743","symptom","hpo.0002725"
"drugbank.DB00317","target","uniprot.O94804"
"mondo.0019186","associated","uniprot.Q15392"
"drugbank.DB00184","target","uniprot.Q05901"
"mondo.0014691","associated","uniprot.Q07890"
"mondo.0014031","symptom","hpo.0010535"
"drugbank.DB01222","SE","meddra.10002653"
"mondo.0018975","symptom","hpo.0002858"
"mondo.0013369","symptom","hpo.0001714"
"drugbank.DB01268","SE","meddra.10008612"
"drugbank.DB00962","SE","meddra.10011013"
"drugbank.DB00619","target","uniprot.P07948"
"drugbank.DB00697","SE","meddra.10022687"
"drugbank.DB01273","SE","meddra.10039100"
"mondo.0007930","symptom","hpo.0000225"
"mondo.0009724","symptom","hpo.0012579"
"mondo.0005124","associated","uniprot.P49279"
"mondo.0013049","symptom","hpo.0002317"
"drugbank.DB00724","SE","meddra.10016936"
"drugbank.DB00715","SE","meddra.10019252"
"mondo.0014617","symptom","hpo.0003763"
"mondo.0001187","associated","uniprot.P14780"
"drugbank.DB00997","SE","meddra.10020971"
"mondo.0018770","associated","uniprot.Q8NCM8"
"mondo.0010283","symptom","hpo.0002063"
"drugbank.DB00346","target","uniprot.P35348"
"mondo.0011132","symptom","hpo.0008404"
"mondo.0006292","associated","uniprot.P43121"
"drugbank.DB00555","SE","meddra.10033664"
"mondo.0007243","associated","uniprot.P00519"
"drugbank.DB00320","target","uniprot.P28222"
"mondo.0016244","associated","uniprot.P15529"
"mondo.0013767","associated","uniprot.P01116"
"mondo.0010680","symptom","hpo.0001387"
"drugbank.DB00924","target","uniprot.P31645"
"mondo.0012999","symptom","hpo.0000717"
"drugbank.DB00373","SE","meddra.10003178"
"mondo.0014817","symptom","hpo.0000097"
"mondo.0019004","associated","uniprot.Q9NPC8"
"drugbank.DB01110","target","uniprot.P18089"
"mondo.0009192","symptom","hpo.0002904"
"mondo.0009123","symptom","hpo.0002917"
"mondo.0014378","symptom","hpo.0100750"
"mondo.0007838","symptom","hpo.0100753"
"drugbank.DB01254","SE","meddra.10009887"
"drugbank.DB00502","SE","meddra.10044066"
"mondo.0009693","associated","uniprot.P42773"
"mondo.0012967","symptom","hpo.0001878"
"drugbank.DB00370","target","uniprot.P23975"
"mondo.0013458","symptom","hpo.0002149"
"mondo.0006468","symptom","hpo.0000853"
"mondo.0018096","symptom","hpo.0001650"
"drugbank.DB00404","SE","meddra.10020622"
"drugbank.DB00404","target","uniprot.O60885"
"mondo.0011232","symptom","hpo.0002301"
"drugbank.DB06819","target","uniprot.Q9BY41"
"mondo.0013364","symptom","hpo.0100716"
"mondo.0018214","associated","uniprot.P18507"
"drugbank.DB00537","target","uniprot.Q02880"
"mondo.0007576","associated","uniprot.P08183"
"mondo.0007369","symptom","hpo.0001402"
"mondo.0009458","symptom","hpo.0001888"
"mondo.0014221","symptom","hpo.0002098"
"mondo.0018177","associated","uniprot.Q04721"
"mondo.0010035","symptom","hpo.0000752"
"mondo.0044646","symptom","hpo.0002878"
"mondo.0007164","symptom","hpo.0002354"
"drugbank.DB00755","SE","meddra.10000486"
"drugbank.DB06176","SE","meddra.10025327"
"mondo.0011380","associated","uniprot.Q9NR50"
"mondo.0018166","associated","uniprot.P08123"
"mondo.0005580","associated","uniprot.Q8TDW7"
"mondo.0007844","symptom","hpo.0000823"
"mondo.0005388","symptom","hpo.0012203"
"mondo.0008102","symptom","hpo.0001663"
"mondo.0008815","symptom","hpo.0001259"
"drugbank.DB08865","target","uniprot.P54756"
"mondo.0011459","associated","uniprot.Q9BTV4"
"drugbank.DB00530","target","uniprot.Q9UHD2"
"drugbank.DB01410","target","uniprot.P04150"
"drugbank.DB00619","target","uniprot.O43570"
"mondo.0010866","associated","uniprot.Q86WC4"
"mondo.0011969","symptom","hpo.0003073"
"drugbank.DB00196","SE","meddra.10008635"
"mondo.0010500","symptom","hpo.0001385"
"drugbank.DB06589","target","uniprot.P51617"
"mondo.0019154","symptom","hpo.0000823"
"drugbank.DB00287","SE","meddra.10037508"
"mondo.0008487","associated","uniprot.Q9H0H5"
"mondo.0018911","associated","uniprot.P20823"
"mondo.0012664","symptom","hpo.0002352"
"mondo.0011801","symptom","hpo.0003073"
"drugbank.DB08881","SE","meddra.10016936"
"drugbank.DB00215","SE","meddra.10047281"
"mondo.0018919","symptom","hpo.0002749"
"mondo.0054573","symptom","hpo.0003763"
"mondo.0009299","associated","uniprot.Q9P2W1"
"mondo.0014943","symptom","hpo.0001396"
"mondo.0013070","associated","uniprot.Q96P56"
"mondo.0004948","associated","uniprot.Q13489"
"drugbank.DB00195","SE","meddra.10003671"
"mondo.0014850","associated","uniprot.Q96Q11"
"mondo.0011937","symptom","hpo.0000962"
"mondo.0010221","symptom","hpo.0006721"
"mondo.0100215","symptom","hpo.0002789"
"mondo.0008487","associated","uniprot.Q7Z589"
"mondo.0015583","associated","uniprot.O75688"
"mondo.0008025","symptom","hpo.0003470"
"mondo.0013990","associated","uniprot.Q9HD42"
"mondo.0015253","associated","uniprot.P62857"
"drugbank.DB00683","target","uniprot.P14867"
"drugbank.DB00563","target","uniprot.P33527"
"drugbank.DB00755","SE","meddra.10008417"
"drugbank.DB06335","target","uniprot.Q86TI2"
"drugbank.DB06148","target","uniprot.Q01959"
